Series Name,Series Code,Country Name,Country Code,Scale (Precision),2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2],2020Q3 [YR2020Q3],2020Q4 [YR2020Q4],2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],,2020Q2-1,2020Q3-2,2020Q4-3,2021Q1-2020Q4,2021Q2-2021Q1,
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Tunisia,TUN,Millions (0),34637,35146,40009,38054,38106,39164,41142,40351,39899,,52,1058,1978,-791,-452,-39899
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Turkey,TUR,Millions (0),426133,418037,416413,412596,409104,417536,433099,430689,446439,,-3492,8432,15563,-2410,15750,-446439
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Ukraine,UKR,Millions (0),115511,118433,121739,119909,122234,122150,125682,123092,125281,,2325,-84,3532,-2590,2189,-125281
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,United Kingdom,GBR,Millions (0),8495971,8661292,8840646,9111015,8977117,9232424,9755352,9729579,9832983,,-133898,255307,522928,-25773,103404,-9832983
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,United States,USA,Millions (0),19722142,20529311,20600666,21430094,20263253,21208682,21417490,21764799,22595448,,-1166841,945429,208808,347309,830649,-22595448
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Uruguay,URY,Millions (0),41694,42621,44581,42535,44959,47103,46439,47189,48279,,2424,2144,-664,750,1090,-48279
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Uzbekistan,UZB,Millions (0),22678,23270,26331,27938,29803,31590,36329,36771,38859,,1865,1787,4739,442,2088,-38859
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,West Bank and Gaza,PSE,Millions (0),1598,1841,1816,2052,1853,1863,2044,1913,2055,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: Quarterly External Debt Statistics SDDS,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/29/2021,,,,,,,,,,,,,,,,,,,,
